Meal Name,Ingrediants,Cookbook,Chef,Dish Picture
Classic Stromboli,1 lbs loaf frozen bread dough,"Pioneer Woman Super Easy, p.147",Ree Drummond,https://www.sheknows.com/food-and-recipes/articles/1234778183/the-pioneer-woman-broccoli-cheese-stromboli-recipe-2/
Classic Stromboli,1/3 cup prepared pesto,"Pioneer Woman Super Easy, p.147",Ree Drummond,https://www.sheknows.com/food-and-recipes/articles/1234778183/the-pioneer-woman-broccoli-cheese-stromboli-recipe-2/
Classic Stromboli,6 oz tinly sliced salami,"Pioneer Woman Super Easy, p.147",Ree Drummond,https://www.sheknows.com/food-and-recipes/articles/1234778183/the-pioneer-woman-broccoli-cheese-stromboli-recipe-2/
Classic Stromboli,6 oz thinly sliced capicola or prosciutto,"Pioneer Woman Super Easy, p.147",Ree Drummond,https://www.sheknows.com/food-and-recipes/articles/1234778183/the-pioneer-woman-broccoli-cheese-stromboli-recipe-2/
Classic Stromboli,8 slices provolone cheese,"Pioneer Woman Super Easy, p.147",Ree Drummond,https://www.sheknows.com/food-and-recipes/articles/1234778183/the-pioneer-woman-broccoli-cheese-stromboli-recipe-2/
Classic Stromboli,8 fresh basil leaves,"Pioneer Woman Super Easy, p.147",Ree Drummond,https://www.sheknows.com/food-and-recipes/articles/1234778183/the-pioneer-woman-broccoli-cheese-stromboli-recipe-2/
Classic Stromboli,1/2 cup drained pepperoncini,"Pioneer Woman Super Easy, p.147",Ree Drummond,https://www.sheknows.com/food-and-recipes/articles/1234778183/the-pioneer-woman-broccoli-cheese-stromboli-recipe-2/
Classic Stromboli,1/3 cup grated parmesan cheese,"Pioneer Woman Super Easy, p.147",Ree Drummond,https://www.sheknows.com/food-and-recipes/articles/1234778183/the-pioneer-woman-broccoli-cheese-stromboli-recipe-2/
Cheeseburger Pizza,olive oil,"Pioneer Woman Super Easy, p.165",Ree Drummond,https://www.mccormickforchefs.com/en-us/recipes/pizza-and-flatbread/all-american-bacon-cheeseburger-pizza
Cheeseburger Pizza,1 lb ground beef,"Pioneer Woman Super Easy, p.165",Ree Drummond,https://www.mccormickforchefs.com/en-us/recipes/pizza-and-flatbread/all-american-bacon-cheeseburger-pizza
Cheeseburger Pizza,Kosher salt and ground pepper,"Pioneer Woman Super Easy, p.165",Ree Drummond,https://www.mccormickforchefs.com/en-us/recipes/pizza-and-flatbread/all-american-bacon-cheeseburger-pizza
